_,Id,Order,Order.SaleNo__c,Order.OrderNo__c,Product2Id,IsDeleted,OrderId,PricebookEntryId,OriginalOrderItemId,AvailableQuantity,Quantity,UnitPrice,ListPrice,TotalPrice,ServiceDate,EndDate,Description,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,OrderItemNumber,OrderId__c,OrderSeqNo__c,SaleSeqNo__c,Status__c,DeleteDateTime__c,OrderItemNo__c,SaleItemNo__c,IsExclude__c,DiscountRate__c,NetSalesUnitPrice__c,StoreName__c,TotalAmount__c,OriginalOrderItemId__c,Field1__c
[OrderItem],802TJ00000R0FkyYAF,[Order],SAL202501010085,,01tJO000008QzU1YAK,False,801TJ00000oKUN6YAO,01uJO000001R2z5YAC,,1,1,1470000,4400000,1470000,,,,2026-04-19T16:09:50.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:09:50.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:09:50.000+0000,2413824,801TJ00000oIPBCYA4,,1,,,,SAL202501010085-1,False,,,신세계아울렛제주점,1470000,,0
[OrderItem],802TJ00000QzkiOYAR,[Order],SAL202405020211,,01tJO000008QyLbYAK,False,801TJ00000oKcySYAS,01uJO000001R2RiYAK,,1,1,0,1,0,,,,2026-04-19T15:44:57.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:44:57.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:44:57.000+0000,2304426,801TJ00000oIQp0YAG,,1,,,,SAL202405020211-1,False,,,롯데청량리점,0,,0
[OrderItem],802TJ00000QzvA9YAJ,[Order],SAL202405030057,,01tJO000008QyLbYAK,False,801TJ00000oJlbVYAS,01uJO000001R2RiYAK,,1,1,0,1,0,,,,2026-04-19T15:54:02.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:54:02.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:54:02.000+0000,2342669,801TJ00000oIQp0YAG,,1,,,,SAL202405030057-1,False,,,롯데청량리점,0,,0
[OrderItem],802TJ00000QzrK2YAJ,[Order],SAL202405300027,,01tJO000008R5gUYAS,False,801TJ00000oJjRjYAK,01uJO000001RAZ0YAO,,1,1,0,940000,0,,,,2026-04-19T15:51:19.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:51:19.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:51:19.000+0000,2329123,801TJ00000oIQqBYAW,,1,,,,SAL202405300027-1,False,,,롯데청량리점,0,,0
[OrderItem],802TJ00000R0OE4YAN,[Order],SAL202407250792,,01tJO000008R5nPYAS,False,801TJ00000oK9AQYA0,01uJO000001R6fYYAS,,1,1,4130000,8970000,4130000,,,,2026-04-19T16:16:29.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:16:29.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:16:29.000+0000,2444958,801TJ00000oIR1LYAW,,1,,,,SAL202407250792-1,False,,,신세계아울렛제주점,10222000,,0
[OrderItem],802TJ00000R0OSbYAN,[Order],SAL202407250792,,01tJO000008RC4PYAW,False,801TJ00000oK9AQYA0,01uJO000001RCTWYA4,,1,1,852000,1780000,852000,,,,2026-04-19T16:16:29.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:16:29.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:16:29.000+0000,2444959,801TJ00000oIR1LYAW,,2,,,,SAL202407250792-2,False,,,신세계아울렛제주점,10222000,,0
[OrderItem],802TJ00000R0OScYAN,[Order],SAL202407250792,,01tJO000008R6a1YAC,False,801TJ00000oK9AQYA0,01uJO000001RATEYA4,,1,1,2045000,8460000,2045000,,,,2026-04-19T16:16:29.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:16:29.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:16:29.000+0000,2444960,801TJ00000oIR1LYAW,,3,,,,SAL202407250792-3,False,,,신세계아울렛제주점,10222000,,0
[OrderItem],802TJ00000R0OSdYAN,[Order],SAL202407250792,,01tJO000008R0VOYA0,False,801TJ00000oK9AQYA0,01uJO000001QzqHYAS,,3,3,1065000,4580000,3195000,,,,2026-04-19T16:16:29.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:16:29.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:16:29.000+0000,2444961,801TJ00000oIR1LYAW,,4,,,,SAL202407250792-4,False,,,신세계아울렛제주점,10222000,,0
[OrderItem],802TJ00000QzdxhYAB,[Order],SAL202405170477,,01tJO000008R5nPYAS,False,801TJ00000oJEMuYAO,01uJO000001R6fYYAS,,1,1,4130000,8970000,4130000,,,,2026-04-19T15:39:57.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:39:57.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:39:57.000+0000,2279629,801TJ00000oIRU4YAO,,1,,,,SAL202405170477-1,False,,,신세계아울렛제주점,4130000,,0
[OrderItem],802TJ00000R0mTbYAJ,[Order],SAL202509020471,,01tJO000008R4ewYAC,False,801TJ00000oJZwIYAW,01uJO000001R9UEYA0,,1,1,65000,1120000,65000,,,,2026-04-19T16:36:14.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:36:14.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:36:14.000+0000,2533233,801TJ00000oISbcYAG,,1,,,,SAL202509020471-1,False,,,롯데노원점,65000,,0
